Name,Position,Team,Bye,ADP,Points
Tyrone Tracy Jr.,RB,NYG,13,152,100
Hunter Henry,TE,NE,4,154.1,100
Omar Cooper Jr.,WR,FA,11,139.6,100
Denzel Boston,WR,FA,13,153.9,100
Brandon Aiyuk,WR,SF,6,161.3,100
Mike Washington Jr.,RB,FA,11,145.9,100
Travis Kelce,TE,KC,13,127.6,100
James Conner,RB,ARI,13,157.9,100
Daniel Jones,QB,IND,9,136.1,100
Cam Ward,QB,TEN,12,145.3,100
Bryce Young,QB,CAR,4,141.7,100
Stefon Diggs,WR,FA,7,153.7,100
Jerry Jeudy,WR,CLE,10,166.7,100
Rachaad White,RB,WAS,7,133,100
Jacory Croskey-Merritt,RB,WAS,8,140.3,100
Fernando Mendoza,QB,FA,6,158.2,100
Tyjae Spears,RB,TEN,7,177.5,100
Jauan Jennings,WR,FA,4,153.5,100
Juwan Johnson,TE,NO,11,147,100
Rashid Shaheed,WR,SEA,4,146.6,100
Woody Marks,RB,HOU,12,156,100
Zach Charbonnet,RB,SEA,5,114.2,100
Jonathon Brooks,RB,CAR,4,144.7,100
Isaiah Likely,TE,NYG,11,134.5,100
Deebo Samuel Sr.,WR,FA,11,172.2,100
Keaton Mitchell,RB,LAC,10,164.4,100
Travis Hunter,WR,JAX,10,163,100
Jacoby Brissett,QB,ARI,8,148.2,100
Tyreek Hill,WR,FA,5,157,100
Tank Dell,WR,HOU,8,181.3,100
Dontayvion Wicks,WR,PHI,12,187.3,100
Isaac TeSlaa,WR,DET,9,173.2,100
Adonai Mitchell,WR,NYJ,8,185.5,100
Calvin Ridley,WR,TEN,4,175.7,100
Dalton Schultz,TE,HOU,4,173.9,100
T.J. Hockenson,TE,MIN,11,165.7,100
Geno Smith,QB,NYJ,10,168.6,100
Emanuel Wilson,RB,SEA,7,161.9,100
David Njoku,TE,FA,9,197.9,100
Jonah Coleman,RB,FA,10,155.4,100
AJ Barner,TE,SEA,9,172.7,100
Emmett Johnson,RB,FA,4,178.5,100
Eli Stowers,TE,FA,7,180.5,100
Kayshon Boutte,WR,NE,5,170.2,100
Dylan Sampson,RB,CLE,8,177,100
Chig Okonkwo,TE,WAS,12,157.6,100
Brian Robinson Jr.,RB,ATL,12,182.6,100
Alvin Kamara,RB,NO,10,182.6,100
Jordan James,RB,SF,13,203.3,100
Tank Bigsby,RB,PHI,8,191.3,100
Braelon Allen,RB,NYJ,10,200.7,100
Christian Kirk,WR,SF,11,183,100
Chimere Dike,WR,TEN,9,197.4,100
Kaytron Allen,RB,FA,4,216.4,100
Zachariah Branch,WR,FA,12,224.8,100
Nicholas Singleton,RB,FA,8,195.5,100
Chris Brazzell II,WR,FA,7,208.3,100
Jalen Nailor,WR,LV,6,173.1,100
Germie Bernard,WR,FA,11,217,100
Tre' Harris,WR,LAC,9,185.3,100
Tre Tucker,WR,LV,5,193.5,100
Tory Horton,WR,SEA,8,205,100
Kimani Vidal,RB,LAC,5,195.4,100
Darnell Mooney,WR,NYG,4,199.1,100
Cade Otton,TE,TB,6,198.2,100
Pat Bryant,WR,DEN,12,213.8,100
Isiah Pacheco,RB,DET,8,163.7,100
Ty Simpson,QB,FA,8,219.3,100
Najee Harris,RB,FA,9,224.5,100
Sean Tucker,RB,TB,4,214.8,100
Devaughn Vele,WR,NO,6,218.8,100
Ray Davis,RB,BUF,6,209.1,100
Chris Bell,WR,FA,12,229.1,100
Mason Taylor,TE,NYJ,8,187.4,100
Elic Ayomanor,WR,TEN,13,225.5,100
Antonio Williams,WR,FA,4,231.1,100
Demond Claiborne,RB,FA,10,227.1,100
Terrance Ferguson,TE,LA,4,211.4,100
Keon Coleman,WR,BUF,11,225.3,100
Cooper Kupp,WR,SEA,8,212.8,100
Jaylin Noel,WR,HOU,5,230.7,100
Keenan Allen,WR,FA,6,228.2,100
Jack Bech,WR,LV,6,230.7,100
Ted Hurst,WR,FA,4,225.6,100
Rashod Bateman,WR,BAL,8,227.4,100
